Dataset,Category,Group,AUC,F1,N
PTB-XL,Overall,All,,0.7154056199472943,2198
PTB-XL,Age,50-70,,0.7058455118599926,935
PTB-XL,Age,<50,,0.6266467472176604,521
PTB-XL,Age,>70,,0.7015391281109805,742
PTB-XL,Sex,Female,,0.7251601022109295,1132
PTB-XL,Sex,Male,,0.704287113958358,1066
Chapman,Overall,All,,0.4202988037850188,43014
Chapman,Age,50-70,,0.4068925716779431,19283
Chapman,Age,<50,,0.3510575081708621,11052
Chapman,Age,>70,,0.41497599226650017,12624
Chapman,Age,Unknown,,0.42778705978705983,55
Chapman,Sex,Female,,0.4173322938358277,18716
Chapman,Sex,Male,,0.4169630036169149,24276
Chapman,Sex,Unknown,,0.4447058823529412,22
