Dataset,Category,Group,AUC,F1_05,F1_Opt,N
PTB-XL,Overall,All,0.9176656443671565,0.6898844739079146,0.7154056199472943,2198
PTB-XL,Age,50-70,0.9152452558777565,0.6817254272540583,0.7058455118599926,935
PTB-XL,Age,<50,0.9214975238535767,0.6039656855308155,0.6266467472176604,521
PTB-XL,Age,>70,0.8936342742128452,0.6769185626439608,0.7015391281109805,742
PTB-XL,Sex,Female,0.9272148648495484,0.6928232287444189,0.7251601022109295,1132
PTB-XL,Sex,Male,0.906820263486544,0.6854826263488617,0.704287113958358,1066
Chapman,Overall,All,0.8101662606010265,0.3999788982458114,0.4202988037850188,43014
Chapman,Age,50-70,0.809045492817164,0.38499729475785627,0.4068925716779431,19283
Chapman,Age,<50,0.8320210519816496,0.3444665722562415,0.3510575081708621,11052
Chapman,Age,>70,0.7270022482742451,0.39016547551495967,0.41497599226650017,12624
Chapman,Age,Unknown,0.6893186307357759,0.35835121400338793,0.42778705978705983,55
Chapman,Sex,Female,0.8252093470359393,0.3973499705299878,0.4173322938358277,18716
Chapman,Sex,Male,0.7965617769135422,0.39568349943952186,0.4169630036169149,24276
Chapman,Sex,Unknown,0.7055510571300045,0.4375757575757576,0.4447058823529412,22
